video_id,playlist,title,transcribed,length,caption_id
E-aoo7Gl2FQ,52_weeks,How to set up a reef tank  | 52 Weeks of Reefing,False,0:01:28,AUieDaanATJE3B_sY3g0XdT4d529fpUTwWeQoRNi8_RNyMNXxrc
fKEXNIhomGs,52_weeks,Week 1: Our Best Reef Tank Build Yet | 52 Weeks of Reefing,False,0:02:51,AUieDaZUPwzNfRgZ8pkyQVjAyPoKqobPj2n8FaNwOUqe
OxZ_hJjXwj8,52_weeks,Week 2: Unveiling the tank and custom built stand | 52 Weeks of Reefing,False,0:17:38,AUieDaaGEEmWfrg14IXf7M_i6ZmxAgaPbdif7ba6YD67
z6foHVHg1Rw,52_weeks,"Week 3: Sumps - What do they do, and which should you select? | 52 Weeks of Reefing",False,0:15:11,AUieDaaJ5tS6S0lWQ3n0iLGnQupq2Vc6geBy_kXYiyl5
tppr8V13h5U,52_weeks,Week 4: Planning a Safer Tank with Redundancy | 52 Weeks of Reefing,False,0:17:34,AUieDabkVqpY2TKn0EG-plpyrFZjHJVCdSiOFCDIE2mY
q1tAnhIGpgA,52_weeks,"Week 5: Plumbing, Overflows, and Return Pumps | 52 Weeks of Reefing",False,0:19:02,AUieDabKpBko1hu1AwBcvEfjCvJJbbgDqif98oBvI61f2QLCQMU
1rER7e7zTxU,52_weeks,"Week 6: Wiring Your Reef Tank, Everything You Forgot to Think About. | 52 Weeks of Reefing",False,0:09:31,AUieDaYleDoSmw_Pj_Uga3E6GU56wMcU93wtei59boXGdX-oTDk
SMq-vk1mnZw,52_weeks,Week 7: How to Produce the Best Water Possible. | 52 Weeks of Reefing,False,0:19:06,AUieDaas5UnHEaum_T4A0EAOKGj8afPQUHL_RKz0RMFd
8vrSO8WLs_M,52_weeks,Week 8: Tank Temperature. Finding a Way to Trust Your Heater. | 52 Weeks of Reefing,False,0:14:53,AUieDabmlIYchPOYyPPocrtLsU54xg2kzH-cPfXyJ-Sh-rkpMW4
K1Oc1LYgVbo,52_weeks,Week 9: Why Flow Is Vital for a Successful Reef Tank. | 52 Weeks of Reefing,False,0:20:23,AUieDabBgd4pbA54hPsDLHsvBmOnJyvmP9TYdLCrHXcv
weuOniZN2Jo,52_weeks,Week 10: What You May Not Have Known About Live Rock. | 52 Weeks of Reefing,False,0:18:44,AUieDabndCj22RsC9KW961FqumOhZ7M03aPlXqOJ_12d
S4eTdqBZnlw,52_weeks,Week 11: Simple Ways to Create the Perfect Aquascape. | 52 Weeks of Reefing,False,0:10:39,AUieDaZay4uABOt2eZGKMTpySHkcn-5Y9YsxYuKi19VX
6vsm71SSw20,52_weeks,Week 12: Proof: Live Sand Isn’t as Dull as You Thought! | 52 Weeks of Reefing,False,0:09:42,AUieDabtNOkzOVT7Do2UB1smV1P2SKWxdnmOZE-rHGIXcAZ-zZk
m5QUjCbYBTM,52_weeks,"Week 13: Ammonia, Not as Simple as You Think: The Ideal Tank Cycle.| 52 Weeks of Reefing",False,0:14:48,AUieDaZ2kcyje0rPXBaoDlVTPAGo0Hz3JqDTkceLRure
