,playlist,title,video_id,transcribed,length,caption_id
0,52_weeks,How to set up a reef tank  | 52 Weeks of Reefing,E-aoo7Gl2FQ,False,0:01:28,AUieDaanATJE3B_sY3g0XdT4d529fpUTwWeQoRNi8_RNyMNXxrc
1,52_weeks,Week 1: Our Best Reef Tank Build Yet | 52 Weeks of Reefing,fKEXNIhomGs,False,0:02:51,AUieDaZUPwzNfRgZ8pkyQVjAyPoKqobPj2n8FaNwOUqe
2,52_weeks,Week 2: Unveiling the tank and custom built stand | 52 Weeks of Reefing,OxZ_hJjXwj8,False,0:17:38,AUieDaaGEEmWfrg14IXf7M_i6ZmxAgaPbdif7ba6YD67
3,52_weeks,"Week 3: Sumps - What do they do, and which should you select? | 52 Weeks of Reefing",z6foHVHg1Rw,False,0:15:11,AUieDaaJ5tS6S0lWQ3n0iLGnQupq2Vc6geBy_kXYiyl5
4,52_weeks,Week 4: Planning a Safer Tank with Redundancy | 52 Weeks of Reefing,tppr8V13h5U,False,0:17:34,AUieDabkVqpY2TKn0EG-plpyrFZjHJVCdSiOFCDIE2mY
5,52_weeks,"Week 5: Plumbing, Overflows, and Return Pumps | 52 Weeks of Reefing",q1tAnhIGpgA,False,0:19:02,AUieDabKpBko1hu1AwBcvEfjCvJJbbgDqif98oBvI61f2QLCQMU
6,52_weeks,"Week 6: Wiring Your Reef Tank, Everything You Forgot to Think About. | 52 Weeks of Reefing",1rER7e7zTxU,False,0:09:31,AUieDaYleDoSmw_Pj_Uga3E6GU56wMcU93wtei59boXGdX-oTDk
7,52_weeks,Week 7: How to Produce the Best Water Possible. | 52 Weeks of Reefing,SMq-vk1mnZw,False,0:19:06,AUieDaas5UnHEaum_T4A0EAOKGj8afPQUHL_RKz0RMFd
8,52_weeks,Week 8: Tank Temperature. Finding a Way to Trust Your Heater. | 52 Weeks of Reefing,8vrSO8WLs_M,False,0:14:53,AUieDabmlIYchPOYyPPocrtLsU54xg2kzH-cPfXyJ-Sh-rkpMW4
9,52_weeks,Week 9: Why Flow Is Vital for a Successful Reef Tank. | 52 Weeks of Reefing,K1Oc1LYgVbo,False,0:20:23,AUieDabBgd4pbA54hPsDLHsvBmOnJyvmP9TYdLCrHXcv
10,52_weeks,Week 10: What You May Not Have Known About Live Rock. | 52 Weeks of Reefing,weuOniZN2Jo,False,0:18:44,AUieDabndCj22RsC9KW961FqumOhZ7M03aPlXqOJ_12d
11,52_weeks,Week 11: Simple Ways to Create the Perfect Aquascape. | 52 Weeks of Reefing,S4eTdqBZnlw,False,0:10:39,AUieDaZay4uABOt2eZGKMTpySHkcn-5Y9YsxYuKi19VX
12,52_weeks,Week 12: Proof: Live Sand Isn’t as Dull as You Thought! | 52 Weeks of Reefing,6vsm71SSw20,False,0:09:42,AUieDabtNOkzOVT7Do2UB1smV1P2SKWxdnmOZE-rHGIXcAZ-zZk
13,52_weeks,"Week 13: Ammonia, Not as Simple as You Think: The Ideal Tank Cycle.| 52 Weeks of Reefing",m5QUjCbYBTM,False,0:14:48,AUieDaZ2kcyje0rPXBaoDlVTPAGo0Hz3JqDTkceLRure
14,52_weeks,"Week 14: Are UV Sterilizers Worth the Time, Money and Effort? | 52 Weeks of Reefing",-GncTmZqOIU,False,0:15:57,AUieDaYMfPVYfF-D3JTG0ttumIODhIW4FkuQoycbNyli
15,52_weeks,Week 15: Adding Saltwater Fish Intelligently and Safely. | 52 Weeks of Reefing,ZWHSTlJ05ek,False,0:14:01,AUieDaajY_QQouL4ZCEun6pSo4HjqjQu7neKyjzX-WXSnqeM0WY
16,52_weeks,"Week 16: ATO: Reducing Daily Maintenance, Safely! | 52 Weeks of Reefing",8rVV7GLNees,False,0:10:55,AUieDaZbMcpd2Flo6kzXuYO9YRWpJoP7DCfVNT8XIwdoIqrF3EA
17,52_weeks,Week 17: Protein Skimmers - Selecting and Tuning the Best! | 52 Weeks of Reefing,myg8rz0Bzzc,False,0:18:18,AUieDaa4a68g6yMhXYyrUZ5BPMDPKTF1sxxJmXX5-hr-iT8Fwks
18,52_weeks,Week 18: Aquarium Lighting: Replicating the Sun Over the World’s Reefs | 52 Weeks of Reefing,CR0FaKu35q0,False,0:10:32,AUieDaa1b0lIDNVsg6-fbZJIOuXsq3wUVShWtY4b54LyqejHWfI
19,52_weeks,Week 19: Compelling Data for Using T5 Lighting on Your Reef Tank. | 52 Weeks of Reefing,C61DTnWKGjc,False,0:28:34,AUieDaYnPziDb_xxTGcVzR_lTBhlSxd_UQpOi60CSlRo
20,52_weeks,Week 20: Metal Halide Lighting and the Reef Tank: A Recipe for Success. | 52 Weeks of Reefing,HKnZq0-0ghY,False,0:25:32,AUieDaYIdyMxGvqgcC6awiV2pDCHuee8CBucyEDfMowpQzoqpMk
21,52_weeks,"Week 21: LED Reef Lighting: Tuning PAR, Spread, and Spectrum. | 52 Weeks of Reefing",V7XLgLiA0PM,False,0:35:48,AUieDaZyiFj0xF9UM72F0IHxraFkqZ5eFCS2oodG-zpJdtlyIoQ
22,52_weeks,Week 22: Reef Tank Lighting: What’s on Our Tanks? The T5 LED Hybrid! | 52 Weeks of Reefing,GTuj5MJCgpc,False,0:13:13,AUieDab3O1O31NxqP4OD27E_KhWdOjt5oBaWxJQcjSkyzTUQq7o
23,52_weeks,"Week 23: Clean-up Crew, How Many Do I Need? | 52 Weeks of Reefing",UjXHq6oie6s,False,0:16:07,AUieDabsjpkF2048gYAn3EwovgUJDv5EO8H_XUzA3pld
24,52_weeks,"Week 24: Carbon, GFO & Filter Media for a Clean, Stable Reef Tank. | 52 Weeks of Reefing",UbLF1zgw8oQ,False,0:20:29,AUieDaY5EOvHYAguxhTaRuN3rJFLSdgOXrOY7uznXXAnjR3zsL4
25,52_weeks,Week 25: Going Beyond Filter Socks: The Theiling Rollermat. | 52 Weeks of Reefing,O0jk2yaT-hc,False,0:12:09,AUieDaYaz_y19pnC9-Ccb0QV89SDYEeG7IDeUrq-SN5b04ziblA
26,52_weeks,Week 26: How to Leverage Bacteria for a Cleaner Reef Tank. | 52 Weeks of Reefing,KnXHVEJSQsU,False,0:22:14,AUieDaYQmUmUg5On_Zin8TQJj7EIJeCA5IU2vYXr-jO6xlliocc
27,52_weeks,Week 27: Refugiums - Utilizing Algae for a Thriving Reef Tank. | 52 Weeks of Reefing,S5vONjvJzTQ,False,0:11:34,AUieDaZQNhMn_s7X-FfaFujDZcxMCGKADYFxH9mgQzDsSNJTZpU
